ORDER_ID,CUSTOMER_ID,RESTAURANT_ID,AGENT_ID,ORDER_PLACED_AT,ORDER_ACCEPTED_AT,ORDER_DELIVERED_AT,ORDER_STATUS,TOTAL_AMOUNT,DISCOUNT_AMOUNT,DELIVERY_FEE,TAX_AMOUNT,FINAL_AMOUNT,DELIVERY_DISTANCE_KM,ESTIMATED_DELIVERY_TIME,ACTUAL_DELIVERY_TIME,DELIVERY_CITY,DELIVERY_PINCODE,ORDER_SOURCE,PROMO_CODE
ORD_BATCH2_0001,CUST041906,REST001825,AGENT000410,2026-05-26T22:54:00Z,2026-05-26T22:57:00Z,,ACCEPTED,295.35,5.12,79.25,14.77,384.25,11.4,52,,Jaipur,302001,ANDROID,
ORD_BATCH2_0002,CUST014329,REST003812,AGENT008280,2026-05-26T20:31:00Z,2026-05-26T20:32:00Z,,ACCEPTED,1102.43,35.07,53.56,55.12,1176.04,9.5,32,,Mumbai,400001,ANDROID,PROMO0175
ORD_BATCH2_0003,CUST018211,REST002548,AGENT003528,2026-05-27T02:35:00Z,2026-05-27T02:38:00Z,,PLACED,631.9,17.95,47.52,31.59,693.06,6.0,17,,Hyderabad,500001,IOS,PROMO0499
ORD_BATCH2_0004,CUST024808,REST001292,AGENT009045,2026-05-26T15:15:00Z,2026-05-26T15:20:00Z,,CANCELLED,369.2,3.48,72.9,18.46,457.08,15.7,20,,Delhi,110001,ANDROID,
ORD_BATCH2_0005,CUST029715,REST005978,AGENT002665,2026-05-26T16:34:00Z,2026-05-26T16:37:00Z,2026-05-26T17:13:00Z,PICKED_UP,1082.55,34.18,25.71,54.13,1128.21,13.1,49,36,Hyderabad,500001,ANDROID,
ORD_BATCH2_0006,CUST024868,REST004423,AGENT009126,2026-05-26T13:59:00Z,2026-05-26T14:02:00Z,,ACCEPTED,1250.52,40.25,52.09,62.53,1324.89,2.3,51,,Hyderabad,500001,IOS,
ORD_BATCH2_0007,CUST032718,REST006483,AGENT007518,2026-05-26T12:41:00Z,2026-05-26T12:44:00Z,,ACCEPTED,1142.98,26.95,79.76,57.15,1252.94,9.1,52,,Jaipur,302001,IOS,
ORD_BATCH2_0008,CUST009066,REST008349,AGENT008086,2026-05-26T11:48:00Z,2026-05-26T11:49:00Z,,ACCEPTED,978.42,39.6,53.77,48.92,1041.51,2.2,39,,Chennai,600001,IOS,PROMO0498
ORD_BATCH2_0009,CUST036257,REST000189,AGENT001877,2026-05-26T21:53:00Z,2026-05-26T21:58:00Z,2026-05-26T22:42:00Z,PICKED_UP,256.17,21.74,56.3,12.81,303.54,19.1,31,44,Chennai,600001,ANDROID,PROMO0055
ORD_BATCH2_0010,CUST040980,REST004890,AGENT008318,2026-05-26T20:38:00Z,2026-05-26T20:40:00Z,2026-05-26T21:09:00Z,PICKED_UP,1167.52,26.97,82.29,58.38,1281.22,11.1,15,29,Chennai,600001,IOS,
ORD_BATCH2_0011,CUST007332,REST005948,AGENT005039,2026-05-26T14:20:00Z,2026-05-26T14:21:00Z,,CANCELLED,1425.73,4.28,58.88,71.29,1551.62,2.3,49,,Delhi,110001,ANDROID,PROMO0485
ORD_BATCH2_0012,CUST036032,REST002706,AGENT004343,2026-05-26T19:15:00Z,2026-05-26T19:20:00Z,,ACCEPTED,1400.48,37.76,75.19,70.02,1507.93,14.5,40,,Hyderabad,500001,WEB,
ORD_BATCH2_0013,CUST033920,REST007398,AGENT001983,2026-05-26T14:28:00Z,2026-05-26T14:30:00Z,2026-05-26T14:48:00Z,PICKED_UP,129.45,27.7,67.08,6.47,175.3,1.1,60,18,Hyderabad,500001,ANDROID,
ORD_BATCH2_0014,CUST002059,REST005414,AGENT001161,2026-05-26T19:01:00Z,2026-05-26T19:03:00Z,2026-05-26T19:48:00Z,DELIVERED,399.93,6.62,94.84,20.0,508.15,11.8,45,45,Delhi,110001,IOS,PROMO0098
ORD_BATCH2_0015,CUST006182,REST001589,AGENT007063,2026-05-26T16:17:00Z,2026-05-26T16:21:00Z,2026-05-26T17:23:00Z,DELIVERED,1309.37,2.71,72.28,65.47,1444.41,13.3,18,62,Jaipur,302001,WEB,
ORD_BATCH2_0016,CUST007162,REST004074,AGENT003140,2026-05-26T13:29:00Z,2026-05-26T13:34:00Z,,ACCEPTED,690.63,13.93,39.98,34.53,751.21,18.5,43,,Chennai,600001,ANDROID,
ORD_BATCH2_0017,CUST035428,REST000242,AGENT001529,2026-05-27T02:03:00Z,2026-05-27T02:05:00Z,2026-05-27T02:36:00Z,DELIVERED,779.9,10.69,52.08,39.0,860.29,2.1,39,31,Mumbai,400001,IOS,
ORD_BATCH2_0018,CUST029820,REST004674,AGENT006931,2026-05-26T22:08:00Z,2026-05-26T22:13:00Z,,ACCEPTED,365.86,10.89,24.68,18.29,397.94,15.0,18,,Hyderabad,500001,IOS,
ORD_BATCH2_0019,CUST038285,REST007812,AGENT008239,2026-05-27T01:56:00Z,2026-05-27T02:01:00Z,,PLACED,1445.09,4.01,34.87,72.25,1548.2,12.3,58,,Delhi,110001,IOS,
ORD_BATCH2_0020,CUST037335,REST004034,AGENT009486,2026-05-26T20:23:00Z,2026-05-26T20:24:00Z,,PLACED,686.91,29.18,61.82,34.35,753.9,18.8,28,,Hyderabad,500001,WEB,
ORD_BATCH2_0021,CUST017408,REST006485,AGENT002145,2026-05-26T21:42:00Z,2026-05-26T21:45:00Z,2026-05-26T22:53:00Z,PICKED_UP,1400.63,46.79,20.75,70.03,1444.62,12.8,51,68,Mumbai,400001,ANDROID,PROMO0260
ORD_BATCH2_0022,CUST017381,REST002171,AGENT005719,2026-05-27T01:17:00Z,2026-05-27T01:18:00Z,2026-05-27T01:59:00Z,PICKED_UP,498.98,21.91,63.46,24.95,565.48,6.7,56,41,Chennai,600001,ANDROID,PROMO0284
ORD_BATCH2_0023,CUST019621,REST001698,AGENT002201,2026-05-26T14:45:00Z,2026-05-26T14:46:00Z,,CANCELLED,317.63,14.09,36.85,15.88,356.27,7.5,58,,Hyderabad,500001,IOS,PROMO0129
ORD_BATCH2_0024,CUST003330,REST001513,AGENT006940,2026-05-27T00:24:00Z,2026-05-27T00:27:00Z,,PLACED,566.98,6.54,98.38,28.35,687.17,4.1,43,,Chennai,600001,WEB,
ORD_BATCH2_0025,CUST000634,REST001833,AGENT001233,2026-05-27T02:22:00Z,2026-05-27T02:24:00Z,,PLACED,1268.43,29.13,31.85,63.42,1334.57,3.4,34,,Bangalore,560001,ANDROID,PROMO0108
ORD_BATCH2_0026,CUST044700,REST004089,AGENT001685,2026-05-26T16:17:00Z,2026-05-26T16:22:00Z,,CANCELLED,1149.27,46.29,38.94,57.46,1199.38,4.1,26,,Jaipur,302001,ANDROID,
ORD_BATCH2_0027,CUST021771,REST006746,AGENT004066,2026-05-26T14:48:00Z,2026-05-26T14:50:00Z,2026-05-26T15:13:00Z,DELIVERED,1321.03,42.93,37.79,66.05,1381.94,16.5,44,23,Bangalore,560001,IOS,PROMO0447
ORD_BATCH2_0028,CUST014916,REST003653,AGENT000388,2026-05-26T21:30:00Z,2026-05-26T21:32:00Z,2026-05-26T22:33:00Z,PICKED_UP,490.04,3.47,81.87,24.5,592.94,7.7,47,61,Jaipur,302001,WEB,PROMO0275
