ORDER_ID,CUSTOMER_ID,RESTAURANT_ID,AGENT_ID,ORDER_PLACED_AT,ORDER_ACCEPTED_AT,ORDER_DELIVERED_AT,ORDER_STATUS,TOTAL_AMOUNT,DISCOUNT_AMOUNT,DELIVERY_FEE,TAX_AMOUNT,FINAL_AMOUNT,DELIVERY_DISTANCE_KM,ESTIMATED_DELIVERY_TIME,ACTUAL_DELIVERY_TIME,DELIVERY_CITY,DELIVERY_PINCODE,ORDER_SOURCE,PROMO_CODE,INGESTION_TS,SOURCE_FILE_NAME
ORD_B3_0001,CUST000082,REST00004,AGENT00006,2026-05-29T14:57:00Z,2026-05-29T15:01:00Z,,ACCEPTED,381.4,14.1,79.25,19.07,465.62,11.4,52,,Chennai,600001,ANDROID,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0002,CUST000028,REST00008,AGENT00227,2026-05-29T10:43:00Z,2026-05-29T10:47:00Z,,CANCELLED,1130.83,38.05,53.56,56.54,1202.88,9.5,32,,Mumbai,400001,ANDROID,PROMO0175,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0003,CUST000036,REST00005,AGENT00253,2026-05-29T16:00:00Z,,,PLACED,320.57,13.87,87.8,16.03,410.53,12.5,17,,Chennai,600001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0004,CUST000049,REST00003,AGENT00044,2026-05-29T15:16:00Z,2026-05-29T15:22:00Z,,CANCELLED,950.56,38.18,23.67,47.53,983.58,5.3,33,,Mumbai,400001,ANDROID,PROMO0195,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0005,CUST000036,REST00015,AGENT00112,2026-05-29T13:02:00Z,2026-05-29T13:08:00Z,,PICKED_UP,472.36,20.68,94.93,23.62,570.23,13.3,53,,Delhi,110001,WEB,PROMO0084,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0006,CUST000060,REST00013,AGENT00065,2026-05-29T19:46:00Z,2026-05-29T19:52:00Z,,ACCEPTED,1295.71,41.04,38.32,64.79,1357.78,1.6,35,,Chennai,600001,IOS,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0007,CUST000073,REST00011,AGENT00253,2026-05-29T18:47:00Z,2026-05-29T18:55:00Z,2026-05-29T19:23:00Z,DELIVERED,544.34,19.87,64.91,27.22,616.6,6.0,52,28,Chennai,600001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0008,CUST000029,REST00005,AGENT00227,2026-05-29T18:41:00Z,,,PLACED,1182.52,44.44,32.23,59.13,1229.44,4.0,58,,Chennai,600001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0009,CUST000049,REST00020,AGENT00139,2026-05-29T19:17:00Z,2026-05-29T19:26:00Z,,PICKED_UP,1319.01,10.46,77.66,65.95,1452.16,14.0,49,,Bangalore,560001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0010,CUST000038,REST00014,AGENT00090,2026-05-29T18:00:00Z,,,PLACED,1439.96,45.03,41.07,72.0,1508.0,10.5,26,,Mumbai,400001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0011,CUST000082,REST00017,AGENT00107,2026-05-29T13:39:00Z,2026-05-29T13:45:00Z,,ACCEPTED,1191.26,31.58,82.29,59.56,1301.53,11.1,15,,Bangalore,560001,IOS,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0012,CUST000047,REST00010,AGENT00045,2026-05-29T11:15:00Z,2026-05-29T11:25:00Z,,ACCEPTED,1431.03,13.43,58.88,71.55,1548.03,2.3,49,,Delhi,110001,ANDROID,PROMO0485,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0013,CUST000071,REST00006,AGENT00065,2026-05-29T19:16:00Z,2026-05-29T19:23:00Z,,CANCELLED,1453.67,47.16,80.42,72.68,1559.61,14.1,60,,Bangalore,560001,IOS,PROMO0333,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0014,CUST000048,REST00015,AGENT00227,2026-05-29T17:58:00Z,,,PLACED,522.28,12.56,21.68,26.11,557.51,11.5,52,,Delhi,110001,ANDROID,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0015,CUST000081,REST00002,AGENT00045,2026-05-29T11:25:00Z,,,PLACED,1317.53,12.83,39.04,65.88,1409.62,13.7,28,,Delhi,110001,WEB,PROMO0293,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0016,CUST000074,REST00016,AGENT00045,2026-05-29T18:20:00Z,2026-05-29T18:24:00Z,2026-05-29T18:46:00Z,DELIVERED,326.01,27.24,53.89,16.3,368.96,9.9,18,22,Mumbai,400001,ANDROID,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0017,CUST000044,REST00004,AGENT00045,2026-05-29T13:32:00Z,2026-05-29T13:41:00Z,,ACCEPTED,783.2,26.88,42.28,39.16,837.76,5.7,19,,Chennai,600001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0018,CUST000084,REST00018,AGENT00006,2026-05-29T11:51:00Z,2026-05-29T11:54:00Z,,ACCEPTED,728.34,29.25,89.17,36.42,824.68,18.1,25,,Chennai,600001,ANDROID,PROMO0136,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0019,CUST000059,REST00010,AGENT00130,2026-05-29T19:45:00Z,2026-05-29T19:48:00Z,2026-05-29T20:22:00Z,DELIVERED,585.72,48.75,66.33,29.29,632.59,11.3,35,34,Mumbai,400001,ANDROID,PROMO0258,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0020,CUST000068,REST00006,AGENT00007,2026-05-29T18:56:00Z,,,PLACED,1306.75,12.74,25.44,65.34,1384.79,17.4,40,,Mumbai,400001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0021,CUST000077,REST00002,AGENT00107,2026-05-29T11:39:00Z,2026-05-29T11:49:00Z,2026-05-29T13:11:00Z,DELIVERED,879.62,47.39,36.34,43.98,912.55,14.6,30,82,Bangalore,560001,IOS,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0022,CUST000083,REST00010,AGENT00139,2026-05-29T15:39:00Z,,,PLACED,212.11,34.85,65.04,10.61,252.91,2.9,49,,Delhi,110001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0023,CUST000045,REST00003,AGENT00045,2026-05-29T16:34:00Z,2026-05-29T16:37:00Z,,PICKED_UP,769.64,31.73,44.2,38.48,820.59,19.7,56,,Mumbai,400001,WEB,PROMO0154,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0024,CUST000085,REST00004,AGENT00033,2026-05-29T14:46:00Z,,,PLACED,1356.63,39.7,32.44,67.83,1417.2,6.4,28,,Bangalore,560001,ANDROID,PROMO0437,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0025,CUST000034,REST00017,AGENT00163,2026-05-29T14:33:00Z,,,PLACED,319.99,26.94,42.13,16.0,351.18,1.1,23,,Bangalore,560001,ANDROID,PROMO0283,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0026,CUST000091,REST00014,AGENT00044,2026-05-29T10:25:00Z,,,PLACED,297.82,45.32,92.31,14.89,359.7,11.4,38,,Delhi,110001,IOS,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0027,CUST000040,REST00012,AGENT00007,2026-05-29T16:22:00Z,2026-05-29T16:26:00Z,,ACCEPTED,1067.01,24.15,64.79,53.35,1161.0,17.6,54,,Delhi,110001,ANDROID,PROMO0500,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0028,CUST000023,REST00014,AGENT00006,2026-05-29T13:19:00Z,2026-05-29T13:26:00Z,,PICKED_UP,1242.91,44.56,84.86,62.15,1345.36,6.1,59,,Mumbai,400001,IOS,PROMO0440,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0029,CUST000061,REST00008,AGENT00253,2026-05-29T18:07:00Z,2026-05-29T18:12:00Z,,PICKED_UP,1266.7,44.85,37.83,63.34,1323.02,13.5,40,,Bangalore,560001,IOS,PROMO0496,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0030,CUST000099,REST00009,AGENT00112,2026-05-29T18:57:00Z,2026-05-29T19:06:00Z,2026-05-29T19:58:00Z,DELIVERED,1421.01,14.61,97.63,71.05,1575.08,4.4,31,52,Mumbai,400001,ANDROID,PROMO0177,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0031,CUST000094,REST00011,AGENT00130,2026-05-29T18:59:00Z,,,PLACED,700.75,33.06,40.38,35.04,743.11,14.5,15,,Delhi,110001,IOS,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0032,CUST000086,REST00011,AGENT00107,2026-05-29T15:37:00Z,,,PLACED,1135.68,22.01,44.74,56.78,1215.19,8.8,40,,Bangalore,560001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0033,CUST000054,REST00013,AGENT00090,2026-05-29T19:58:00Z,2026-05-29T20:05:00Z,,PICKED_UP,912.32,10.02,42.95,45.62,990.87,9.2,52,,Bangalore,560001,IOS,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0034,CUST000087,REST00007,AGENT00227,2026-05-29T18:20:00Z,2026-05-29T18:22:00Z,,ACCEPTED,568.92,36.55,69.54,28.45,630.36,2.8,30,,Bangalore,560001,ANDROID,PROMO0076,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0035,CUST000004,REST00002,AGENT00045,2026-05-29T18:22:00Z,2026-05-29T18:24:00Z,,CANCELLED,792.04,45.45,66.05,39.6,852.24,14.6,39,,Chennai,600001,IOS,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0036,CUST000084,REST00001,AGENT00010,2026-05-29T17:31:00Z,2026-05-29T17:34:00Z,,ACCEPTED,1245.34,37.84,57.16,62.27,1326.93,11.6,22,,Chennai,600001,ANDROID,PROMO0342,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0037,CUST000068,REST00018,AGENT00107,2026-05-29T15:40:00Z,2026-05-29T15:50:00Z,2026-05-29T17:04:00Z,DELIVERED,754.76,46.27,55.67,37.74,801.9,4.0,45,74,Chennai,600001,IOS,PROMO0431,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0038,CUST000082,REST00009,AGENT00227,2026-05-29T18:32:00Z,2026-05-29T18:37:00Z,,ACCEPTED,771.83,38.54,38.76,38.59,810.64,7.4,49,,Mumbai,400001,ANDROID,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0039,CUST000050,REST00005,AGENT00253,2026-05-29T11:21:00Z,2026-05-29T11:28:00Z,2026-05-29T12:20:00Z,DELIVERED,905.39,26.63,36.55,45.27,960.58,9.0,52,52,Mumbai,400001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0040,CUST000001,REST00012,AGENT00080,2026-05-29T16:55:00Z,2026-05-29T17:04:00Z,2026-05-29T18:23:00Z,DELIVERED,1239.83,45.91,59.06,61.99,1314.97,6.2,46,79,Mumbai,400001,IOS,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
,CUST000087,REST00013,AGENT00090,2026-05-29T18:14:00Z,2026-05-29T18:24:00Z,,ACCEPTED,894.36,46.28,67.35,44.72,960.15,13.6,20,,Chennai,600001,ANDROID,PROMO0094,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0042,,REST00009,AGENT00121,2026-05-29T15:51:00Z,2026-05-29T15:59:00Z,,ACCEPTED,624.9,40.45,50.33,31.25,666.03,15.3,41,,Bangalore,560001,ANDROID,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0043,CUST000096,,AGENT00007,2026-05-29T16:14:00Z,2026-05-29T16:16:00Z,,ACCEPTED,1215.6,36.07,80.34,60.78,1320.65,19.0,27,,Mumbai,400001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0044,CUST000017,REST00016,AGENT00010,2026-05-29T19:53:00Z,2026-05-29T20:01:00Z,,ACCEPTED,-500.0,40.68,33.42,55.47,1157.51,12.5,60,,Mumbai,400001,ANDROID,PROMO0056,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0045,CUST000075,REST00001,AGENT00080,2026-05-29T20:05:00Z,2026-05-29T20:12:00Z,2026-05-29T20:47:00Z,DELIVERED,298.8,37.62,70.18,14.94,-250.0,2.9,34,35,Mumbai,400001,WEB,PROMO0178,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
ORD_B3_0046,CUST000069,REST00014,AGENT00112,2026-05-29T11:26:00Z,2026-05-29T11:32:00Z,,CANCELLED,216.45,26.8,59.22,10.82,259.69,0,38,,Chennai,600001,WEB,,2026-05-29T23:59:00Z,Batch_3_Order_Details.csv
