order_item_id,order_id,item_name,category,quantity,unit_price,total_price,is_veg
ITEM00000001,ORD0000001,Butter Naan,North Indian,2,187,374,True
ITEM00000002,ORD0000001,Tandoori Chicken,North Indian,2,121,242,False
ITEM00000003,ORD0000001,Pav Bhaji,Fast Food,1,300,300,True
ITEM00000004,ORD0000002,Masala Fries,Fast Food,1,108,108,True
ITEM00000005,ORD0000002,Brownie,Desserts,1,416,416,True
ITEM00000006,ORD0000002,Rajma Chawal,North Indian,1,352,352,True
ITEM00000007,ORD0000002,Mysore Dosa,South Indian,1,407,407,True
ITEM00000008,ORD0000003,Hakka Noodles,Chinese,1,123,123,True
ITEM00000009,ORD0000004,Farmhouse Pizza,Italian,3,87,261,True
ITEM00000010,ORD0000004,Dal Makhani,North Indian,2,221,442,True
ITEM00000011,ORD0000004,Cold Coffee,Beverages,2,279,558,True
ITEM00000012,ORD0000004,Manchurian,Chinese,3,371,1113,True
ITEM00000013,ORD0000005,Pav Bhaji,Fast Food,3,165,495,True
ITEM00000014,ORD0000005,Gulab Jamun,Desserts,1,414,414,True
ITEM00000015,ORD0000006,Masala Dosa,South Indian,1,361,361,True
ITEM00000016,ORD0000007,Margherita Pizza,Italian,2,264,528,True
ITEM00000017,ORD0000008,Gulab Jamun,Desserts,2,227,454,True
ITEM00000018,ORD0000009,Manchurian,Chinese,1,144,144,True
ITEM00000019,ORD0000010,Vada Sambhar,South Indian,2,233,466,True
ITEM00000020,ORD0000010,Kadhi Chawal,North Indian,2,347,694,True
ITEM00000021,ORD0000011,Vada Sambhar,South Indian,1,349,349,True
ITEM00000022,ORD0000011,Farmhouse Pizza,Italian,3,328,984,True
ITEM00000023,ORD0000011,Ice Cream Sundae,Desserts,3,384,1152,True
ITEM00000024,ORD0000011,Dal Makhani,North Indian,3,312,936,True
ITEM00000025,ORD0000012,Kadhi Chawal,North Indian,3,295,885,True
ITEM00000026,ORD0000012,Brownie,Desserts,1,241,241,True
ITEM00000027,ORD0000012,Red Sauce Pasta,Italian,1,159,159,True
ITEM00000028,ORD0000013,Gulab Jamun,Desserts,1,183,183,True
ITEM00000029,ORD0000013,Rajma Chawal,North Indian,1,240,240,True
ITEM00000030,ORD0000014,Chole Bhature,North Indian,2,407,814,True
ITEM00000031,ORD0000014,Hyderabadi Biryani,North Indian,3,393,1179,False
ITEM00000032,ORD0000014,Chicken Tikka,North Indian,2,284,568,False
ITEM00000033,ORD0000014,Tandoori Chicken,North Indian,3,392,1176,False
ITEM00000034,ORD0000015,Schezwan Noodles,Chinese,2,431,862,True
ITEM00000035,ORD0000015,Chicken Biryani,North Indian,3,99,297,False
ITEM00000036,ORD0000016,Rasmalai,Desserts,1,316,316,True
ITEM00000037,ORD0000016,Idli Sambhar,South Indian,2,301,602,True
ITEM00000038,ORD0000016,Rasmalai,Desserts,1,290,290,True
ITEM00000039,ORD0000016,Red Sauce Pasta,Italian,1,289,289,True
ITEM00000040,ORD0000017,Veg Biryani,North Indian,1,83,83,True
ITEM00000041,ORD0000018,Margherita Pizza,Italian,3,320,960,True
ITEM00000042,ORD0000019,Peri Peri Fries,Fast Food,1,303,303,True
ITEM00000043,ORD0000019,Butter Naan,North Indian,2,108,216,True
ITEM00000044,ORD0000019,Veg Burger,Fast Food,3,80,240,True
ITEM00000045,ORD0000019,Rasmalai,Desserts,2,281,562,True
ITEM00000046,ORD0000020,Hakka Noodles,Chinese,1,449,449,True
ITEM00000047,ORD0000020,Butter Naan,North Indian,2,427,854,True
ITEM00000048,ORD0000020,Vada Sambhar,South Indian,2,166,332,True
ITEM00000049,ORD0000021,Mysore Dosa,South Indian,2,330,660,True
ITEM00000050,ORD0000022,Masala Dosa,South Indian,3,104,312,True
ITEM00000051,ORD0000022,Vada Sambhar,South Indian,2,379,758,True
ITEM00000052,ORD0000022,Rajma Chawal,North Indian,3,340,1020,True
ITEM00000053,ORD0000022,Ice Cream Sundae,Desserts,3,307,921,True
ITEM00000054,ORD0000023,Red Sauce Pasta,Italian,1,118,118,True
ITEM00000055,ORD0000024,Ice Cream Sundae,Desserts,1,395,395,True
ITEM00000056,ORD0000025,Butter Naan,North Indian,1,157,157,True
ITEM00000057,ORD0000025,Paneer Butter Masala,North Indian,3,262,786,True
ITEM00000058,ORD0000026,Paneer Butter Masala,North Indian,3,408,1224,True
ITEM00000059,ORD0000027,Mysore Dosa,South Indian,1,450,450,True
ITEM00000060,ORD0000027,Red Sauce Pasta,Italian,2,248,496,True
ITEM00000061,ORD0000028,Vada Sambhar,South Indian,1,202,202,True
ITEM00000062,ORD0000029,Hyderabadi Biryani,North Indian,2,365,730,False
ITEM00000063,ORD0000029,Schezwan Noodles,Chinese,2,80,160,True
ITEM00000064,ORD0000029,Dal Makhani,North Indian,3,190,570,True
ITEM00000065,ORD0000030,Paneer Butter Masala,North Indian,2,292,584,True
ITEM00000066,ORD0000030,Paneer Butter Masala,North Indian,3,263,789,True
ITEM00000067,ORD0000030,Red Sauce Pasta,Italian,1,376,376,True
ITEM00000068,ORD0000031,Peri Peri Fries,Fast Food,3,300,900,True
ITEM00000069,ORD0000032,Vada Sambhar,South Indian,2,309,618,True
ITEM00000070,ORD0000032,Veg Biryani,North Indian,3,212,636,True
ITEM00000071,ORD0000032,Farmhouse Pizza,Italian,1,82,82,True
ITEM00000072,ORD0000032,Mysore Dosa,South Indian,1,296,296,True
ITEM00000073,ORD0000033,Rasmalai,Desserts,3,86,258,True
ITEM00000074,ORD0000033,Tandoori Chicken,North Indian,3,312,936,False
ITEM00000075,ORD0000033,Margherita Pizza,Italian,2,100,200,True
ITEM00000076,ORD0000033,Mysore Dosa,South Indian,2,98,196,True
ITEM00000077,ORD0000034,Masala Dosa,South Indian,2,100,200,True
ITEM00000078,ORD0000034,Farmhouse Pizza,Italian,1,133,133,True
ITEM00000079,ORD0000034,Mango Shake,Beverages,2,279,558,True
ITEM00000080,ORD0000034,Masala Fries,Fast Food,2,163,326,True
ITEM00000081,ORD0000035,Ice Cream Sundae,Desserts,1,223,223,True
ITEM00000082,ORD0000036,Chicken Biryani,North Indian,2,217,434,False
ITEM00000083,ORD0000036,Chocolate Shake,Beverages,3,438,1314,True
ITEM00000084,ORD0000037,Margherita Pizza,Italian,2,358,716,True
ITEM00000085,ORD0000037,Manchurian,Chinese,1,407,407,True
ITEM00000086,ORD0000037,Dal Makhani,North Indian,1,280,280,True
ITEM00000087,ORD0000038,Vada Sambhar,South Indian,1,438,438,True
ITEM00000088,ORD0000038,Vada Sambhar,South Indian,3,223,669,True
ITEM00000089,ORD0000039,Red Sauce Pasta,Italian,3,345,1035,True
ITEM00000090,ORD0000039,Kadhi Chawal,North Indian,3,291,873,True
ITEM00000091,ORD0000040,Red Sauce Pasta,Italian,1,311,311,True
ITEM00000092,ORD0000040,Margherita Pizza,Italian,3,433,1299,True
ITEM00000093,ORD0000041,Rajma Chawal,North Indian,3,261,783,True
ITEM00000094,ORD0000041,Cold Coffee,Beverages,2,81,162,True
ITEM00000095,ORD0000041,Vada Sambhar,South Indian,2,428,856,True
ITEM00000096,ORD0000042,Masala Fries,Fast Food,2,91,182,True
ITEM00000097,ORD0000042,Manchurian,Chinese,1,157,157,True
ITEM00000098,ORD0000043,Manchurian,Chinese,1,229,229,True
ITEM00000099,ORD0000043,Mysore Dosa,South Indian,1,233,233,True
ITEM00000100,ORD0000043,Brownie,Desserts,1,383,383,True
ITEM00000101,ORD0000044,Manchurian,Chinese,3,353,1059,True
ITEM00000102,ORD0000045,Chicken Biryani,North Indian,3,365,1095,False
ITEM00000103,ORD0000045,Masala Fries,Fast Food,1,334,334,True
ITEM00000104,ORD0000045,Chocolate Shake,Beverages,3,176,528,True
ITEM00000105,ORD0000045,Mango Shake,Beverages,3,241,723,True
ITEM00000106,ORD0000046,Masala Dosa,South Indian,1,425,425,True
ITEM00000107,ORD0000046,Margherita Pizza,Italian,2,269,538,True
ITEM00000108,ORD0000047,Rajma Chawal,North Indian,1,166,166,True
ITEM00000109,ORD0000047,Rasmalai,Desserts,2,298,596,True
ITEM00000110,ORD0000048,Masala Fries,Fast Food,3,263,789,True
ITEM00000111,ORD0000048,Idli Sambhar,South Indian,1,285,285,True
ITEM00000112,ORD0000049,Margherita Pizza,Italian,1,290,290,True
ITEM00000113,ORD0000049,Hakka Noodles,Chinese,1,416,416,True
ITEM00000114,ORD0000049,Veg Burger,Fast Food,1,318,318,True
ITEM00000115,ORD0000049,Masala Fries,Fast Food,2,83,166,True
ITEM00000116,ORD0000050,Paneer Butter Masala,North Indian,3,326,978,True
ITEM00000117,ORD0000051,Chocolate Shake,Beverages,1,386,386,True
ITEM00000118,ORD0000051,Ice Cream Sundae,Desserts,1,368,368,True
ITEM00000119,ORD0000051,Schezwan Noodles,Chinese,3,292,876,True
ITEM00000120,ORD0000052,Hyderabadi Biryani,North Indian,1,179,179,False
ITEM00000121,ORD0000053,Rajma Chawal,North Indian,2,319,638,True
ITEM00000122,ORD0000053,Red Sauce Pasta,Italian,1,417,417,True
ITEM00000123,ORD0000054,Rasmalai,Desserts,1,293,293,True
ITEM00000124,ORD0000055,Hyderabadi Biryani,North Indian,1,390,390,False
ITEM00000125,ORD0000055,Pav Bhaji,Fast Food,3,372,1116,True
ITEM00000126,ORD0000055,Butter Naan,North Indian,1,156,156,True
ITEM00000127,ORD0000056,Paneer Butter Masala,North Indian,3,345,1035,True
ITEM00000128,ORD0000056,Peri Peri Fries,Fast Food,1,134,134,True
ITEM00000129,ORD0000056,Pav Bhaji,Fast Food,2,165,330,True
ITEM00000130,ORD0000056,Schezwan Noodles,Chinese,1,349,349,True
ITEM00000131,ORD0000057,Chilli Paneer,Chinese,2,304,608,True
ITEM00000132,ORD0000057,Veg Biryani,North Indian,3,389,1167,True
ITEM00000133,ORD0000057,Hyderabadi Biryani,North Indian,1,390,390,False
ITEM00000134,ORD0000057,Dal Makhani,North Indian,3,293,879,True
ITEM00000135,ORD0000058,Idli Sambhar,South Indian,3,99,297,True
ITEM00000136,ORD0000058,Farmhouse Pizza,Italian,2,129,258,True
ITEM00000137,ORD0000058,Pav Bhaji,Fast Food,3,251,753,True
ITEM00000138,ORD0000058,Masala Dosa,South Indian,2,346,692,True
ITEM00000139,ORD0000059,White Sauce Pasta,Italian,2,435,870,True
ITEM00000140,ORD0000059,Red Sauce Pasta,Italian,1,318,318,True
ITEM00000141,ORD0000060,Chilli Paneer,Chinese,1,266,266,True
ITEM00000142,ORD0000061,Chilli Paneer,Chinese,2,359,718,True
ITEM00000143,ORD0000062,Chole Bhature,North Indian,1,101,101,True
ITEM00000144,ORD0000062,Ice Cream Sundae,Desserts,1,442,442,True
ITEM00000145,ORD0000063,Peri Peri Fries,Fast Food,2,93,186,True
ITEM00000146,ORD0000063,Ice Cream Sundae,Desserts,1,219,219,True
ITEM00000147,ORD0000064,Mysore Dosa,South Indian,2,372,744,True
ITEM00000148,ORD0000064,Manchurian,Chinese,1,139,139,True
ITEM00000149,ORD0000064,Brownie,Desserts,2,317,634,True
ITEM00000150,ORD0000065,Cold Coffee,Beverages,1,423,423,True
ITEM00000151,ORD0000065,White Sauce Pasta,Italian,3,438,1314,True
ITEM00000152,ORD0000065,Veg Biryani,North Indian,2,364,728,True
ITEM00000153,ORD0000065,Masala Fries,Fast Food,2,182,364,True
ITEM00000154,ORD0000066,Chicken Biryani,North Indian,2,165,330,False
ITEM00000155,ORD0000066,Butter Naan,North Indian,3,444,1332,True
ITEM00000156,ORD0000066,Rasmalai,Desserts,1,433,433,True
ITEM00000157,ORD0000066,Hakka Noodles,Chinese,3,167,501,True
ITEM00000158,ORD0000067,Manchurian,Chinese,2,81,162,True
ITEM00000159,ORD0000068,Gulab Jamun,Desserts,2,109,218,True
ITEM00000160,ORD0000068,White Sauce Pasta,Italian,1,162,162,True
ITEM00000161,ORD0000069,Tandoori Chicken,North Indian,1,184,184,False
ITEM00000162,ORD0000069,Dal Makhani,North Indian,2,186,372,True
ITEM00000163,ORD0000070,Peri Peri Fries,Fast Food,1,285,285,True
ITEM00000164,ORD0000070,Chole Bhature,North Indian,1,150,150,True
ITEM00000165,ORD0000070,Brownie,Desserts,3,354,1062,True
ITEM00000166,ORD0000070,Butter Naan,North Indian,3,448,1344,True
ITEM00000167,ORD0000071,Manchurian,Chinese,1,298,298,True
ITEM00000168,ORD0000071,Paneer Butter Masala,North Indian,2,407,814,True
ITEM00000169,ORD0000072,Rasmalai,Desserts,3,197,591,True
ITEM00000170,ORD0000072,Dal Makhani,North Indian,1,248,248,True
ITEM00000171,ORD0000072,Masala Fries,Fast Food,3,211,633,True
ITEM00000172,ORD0000073,Idli Sambhar,South Indian,3,244,732,True
ITEM00000173,ORD0000073,Tandoori Chicken,North Indian,2,232,464,False
ITEM00000174,ORD0000073,Veg Burger,Fast Food,2,304,608,True
ITEM00000175,ORD0000074,Red Sauce Pasta,Italian,1,295,295,True
ITEM00000176,ORD0000074,Manchurian,Chinese,2,224,448,True
ITEM00000177,ORD0000074,Chicken Burger,Fast Food,1,405,405,False
ITEM00000178,ORD0000074,Dal Makhani,North Indian,3,160,480,True
ITEM00000179,ORD0000075,Hyderabadi Biryani,North Indian,1,86,86,False
ITEM00000180,ORD0000075,Hakka Noodles,Chinese,1,274,274,True
ITEM00000181,ORD0000075,Red Sauce Pasta,Italian,2,328,656,True
ITEM00000182,ORD0000075,Gulab Jamun,Desserts,3,397,1191,True
ITEM00000183,ORD0000076,Dal Makhani,North Indian,2,308,616,True
ITEM00000184,ORD0000076,Kadhi Chawal,North Indian,1,174,174,True
ITEM00000185,ORD0000076,Chicken Tikka,North Indian,1,363,363,False
ITEM00000186,ORD0000077,Masala Fries,Fast Food,2,170,340,True
ITEM00000187,ORD0000077,Margherita Pizza,Italian,1,148,148,True
ITEM00000188,ORD0000077,Veg Biryani,North Indian,2,101,202,True
ITEM00000189,ORD0000078,Chicken Biryani,North Indian,1,326,326,False
ITEM00000190,ORD0000079,Chocolate Shake,Beverages,1,384,384,True
ITEM00000191,ORD0000079,Veg Burger,Fast Food,2,88,176,True
ITEM00000192,ORD0000080,Chicken Tikka,North Indian,1,285,285,False
ITEM00000193,ORD0000080,White Sauce Pasta,Italian,3,321,963,True
ITEM00000194,ORD0000080,Brownie,Desserts,2,221,442,True
ITEM00000195,ORD0000080,Veg Biryani,North Indian,1,294,294,True
ITEM00000196,ORD0000081,Tandoori Chicken,North Indian,3,202,606,False
ITEM00000197,ORD0000082,Chocolate Shake,Beverages,3,155,465,True
ITEM00000198,ORD0000083,Hyderabadi Biryani,North Indian,2,427,854,False
ITEM00000199,ORD0000083,Kadhi Chawal,North Indian,3,434,1302,True
ITEM00000200,ORD0000084,Pav Bhaji,Fast Food,3,343,1029,True
ITEM00000201,ORD0000084,Mango Shake,Beverages,2,316,632,True
ITEM00000202,ORD0000084,Masala Fries,Fast Food,3,212,636,True
ITEM00000203,ORD0000084,Schezwan Noodles,Chinese,3,403,1209,True
ITEM00000204,ORD0000085,Brownie,Desserts,1,147,147,True
ITEM00000205,ORD0000085,Dal Makhani,North Indian,1,207,207,True
ITEM00000206,ORD0000086,Veg Biryani,North Indian,3,244,732,True
ITEM00000207,ORD0000087,Manchurian,Chinese,1,122,122,True
ITEM00000208,ORD0000087,Brownie,Desserts,3,128,384,True
ITEM00000209,ORD0000087,Veg Biryani,North Indian,2,244,488,True
ITEM00000210,ORD0000088,Gulab Jamun,Desserts,3,181,543,True
ITEM00000211,ORD0000088,Manchurian,Chinese,3,317,951,True
ITEM00000212,ORD0000089,Ice Cream Sundae,Desserts,1,401,401,True
ITEM00000213,ORD0000089,Chilli Paneer,Chinese,1,363,363,True
ITEM00000214,ORD0000090,Peri Peri Fries,Fast Food,3,200,600,True
ITEM00000215,ORD0000090,Manchurian,Chinese,3,215,645,True
ITEM00000216,ORD0000091,Kadhi Chawal,North Indian,2,130,260,True
ITEM00000217,ORD0000092,Pav Bhaji,Fast Food,2,139,278,True
ITEM00000218,ORD0000092,Chicken Biryani,North Indian,2,212,424,False
ITEM00000219,ORD0000092,Schezwan Noodles,Chinese,3,109,327,True
ITEM00000220,ORD0000093,Chicken Tikka,North Indian,2,148,296,False
ITEM00000221,ORD0000093,Chicken Tikka,North Indian,1,296,296,False
ITEM00000222,ORD0000094,Chicken Biryani,North Indian,2,126,252,False
ITEM00000223,ORD0000094,Pav Bhaji,Fast Food,1,167,167,True
ITEM00000224,ORD0000094,Mango Shake,Beverages,2,423,846,True
ITEM00000225,ORD0000095,Dal Makhani,North Indian,3,431,1293,True
ITEM00000226,ORD0000095,Mysore Dosa,South Indian,1,264,264,True
ITEM00000227,ORD0000095,Butter Naan,North Indian,3,338,1014,True
ITEM00000228,ORD0000096,Farmhouse Pizza,Italian,3,116,348,True
ITEM00000229,ORD0000096,Vada Sambhar,South Indian,3,302,906,True
ITEM00000230,ORD0000096,Veg Burger,Fast Food,2,425,850,True
ITEM00000231,ORD0000096,Paneer Butter Masala,North Indian,1,430,430,True
ITEM00000232,ORD0000097,Mysore Dosa,South Indian,2,433,866,True
ITEM00000233,ORD0000097,Chole Bhature,North Indian,1,139,139,True
ITEM00000234,ORD0000097,Rasmalai,Desserts,1,395,395,True
ITEM00000235,ORD0000098,Chole Bhature,North Indian,3,272,816,True
ITEM00000236,ORD0000098,Chicken Biryani,North Indian,1,134,134,False
ITEM00000237,ORD0000099,Pav Bhaji,Fast Food,2,405,810,True
ITEM00000238,ORD0000099,Chicken Biryani,North Indian,1,437,437,False
ITEM00000239,ORD0000100,Chocolate Shake,Beverages,1,445,445,True
ITEM00000240,ORD0000100,Dal Makhani,North Indian,3,363,1089,True
ITEM00000241,ORD0000100,Chicken Tikka,North Indian,2,252,504,False
ITEM00000242,ORD0000100,Ice Cream Sundae,Desserts,2,446,892,True
ITEM00000243,ORD0000101,Paneer Butter Masala,North Indian,2,157,314,True
ITEM00000244,ORD0000101,Red Sauce Pasta,Italian,2,210,420,True
ITEM00000245,ORD0000101,White Sauce Pasta,Italian,2,247,494,True
ITEM00000246,ORD0000102,Veg Biryani,North Indian,1,93,93,True
