order_id,customer_id,restaurant_id,agent_id,order_placed_at,order_accepted_at,order_delivered_at,order_status,total_amount,discount_amount,delivery_fee,tax_amount,final_amount,delivery_distance_km,estimated_delivery_time,actual_delivery_time,delivery_city,delivery_pincode,order_source,promo_code
ORD0000001,CUST000187,REST00688,AGENT04470,2026-04-23 07:02:38,2026-04-23 07:06:38,2026-04-23 07:55:38,CANCELLED,1286,255,26,64.3,1121.3,7.3,57,41,Chennai,170310,WEB,PROMO0163
ORD0000002,CUST042663,REST00836,AGENT04343,2026-04-24 02:28:39,2026-04-24 02:30:39,2026-04-24 03:22:39,DELIVERED,864,150,69,43.2,826.2,13.98,25,29,Mumbai,658300,ANDROID,PROMO0032
ORD0000003,CUST039946,REST06620,AGENT01254,2026-05-08 05:49:25,2026-05-08 05:57:25,2026-05-08 06:21:25,CANCELLED,1300,247,66,65.0,1184.0,14.96,28,20,Jaipur,633438,WEB,PROMO0329
ORD0000004,CUST036167,REST04310,AGENT02393,2026-04-19 00:01:46,2026-04-19 00:11:46,2026-04-19 00:47:46,CANCELLED,283,43,20,14.15,274.15,1.6,39,23,Mumbai,168793,ANDROID,PROMO0287
ORD0000005,CUST036155,REST09638,AGENT03417,2026-04-29 15:27:24,2026-04-29 15:36:24,2026-04-29 16:24:24,CANCELLED,936,201,54,46.8,835.8,11.21,47,24,Kolkata,626211,ANDROID,PROMO0387
ORD0000006,CUST042581,REST05573,AGENT03320,2026-05-11 17:02:43,2026-05-11 17:11:43,2026-05-11 18:02:43,DELIVERED,498,296,78,24.9,304.9,8.99,25,28,Hyderabad,913146,IOS,PROMO0389
ORD0000007,CUST002240,REST03910,AGENT03168,2026-04-22 19:43:38,2026-04-22 19:51:38,2026-04-22 20:34:38,CANCELLED,335,220,51,16.75,182.75,8.95,41,71,Pune,820833,ANDROID,PROMO0450
ORD0000008,CUST031698,REST00006,AGENT04571,2026-04-21 00:08:34,2026-04-21 00:14:34,2026-04-21 01:06:34,CANCELLED,547,275,68,27.35,367.35,13.69,28,21,Delhi,499816,WEB,PROMO0499
ORD0000009,CUST008518,REST02897,AGENT03842,2026-05-01 20:36:16,2026-05-01 20:38:16,2026-05-01 21:33:16,DELIVERED,1367,243,72,68.35,1264.35,3.9,42,49,Delhi,43649,IOS,PROMO0332
ORD0000010,CUST010250,REST05107,AGENT01023,2026-05-04 14:26:05,2026-05-04 14:32:05,2026-05-04 15:25:05,CANCELLED,1355,55,28,67.75,1395.75,10.3,46,37,Mumbai,947298,WEB,PROMO0061
ORD0000011,CUST011839,REST07025,AGENT00018,2026-05-09 18:51:51,2026-05-09 18:57:51,2026-05-09 19:37:51,CANCELLED,371,275,56,18.55,170.55,12.89,50,66,Hyderabad,377235,WEB,PROMO0404
ORD0000012,CUST031526,REST08034,AGENT02666,2026-05-06 14:57:07,2026-05-06 15:05:07,2026-05-06 15:30:07,CANCELLED,625,203,20,31.25,473.25,11.99,37,45,Gurgaon,111604,ANDROID,PROMO0362
ORD0000013,CUST000074,REST05692,AGENT03064,2026-05-05 14:55:35,2026-05-05 14:59:35,2026-05-05 15:35:35,CANCELLED,330,67,71,16.5,350.5,3.52,27,36,Jaipur,776322,IOS,PROMO0020
ORD0000014,CUST041857,REST06957,AGENT03466,2026-04-23 06:21:27,2026-04-23 06:31:27,2026-04-23 06:56:27,CANCELLED,1394,151,77,69.7,1389.7,13.57,56,59,Bangalore,47912,ANDROID,PROMO0194
ORD0000015,CUST049211,REST09611,AGENT04898,2026-05-07 11:34:42,2026-05-07 11:35:42,2026-05-07 12:23:42,CANCELLED,1097,182,39,54.85,1008.85,9.62,46,54,Gurgaon,975016,IOS,PROMO0273
ORD0000016,CUST033886,REST05452,AGENT04415,2026-05-10 02:21:24,2026-05-10 02:29:24,2026-05-10 02:50:24,CANCELLED,330,197,29,16.5,178.5,10.09,31,66,Gurgaon,361195,IOS,PROMO0037
ORD0000017,CUST002466,REST07226,AGENT03411,2026-05-10 10:32:42,2026-05-10 10:35:42,2026-05-10 11:24:42,DELIVERED,675,168,61,33.75,601.75,10.38,22,47,Bangalore,578009,IOS,PROMO0011
ORD0000018,CUST037381,REST02065,AGENT03374,2026-04-24 20:50:52,2026-04-24 20:57:52,2026-04-24 21:28:52,CANCELLED,1323,95,74,66.15,1368.15,2.87,31,44,Gurgaon,491879,ANDROID,PROMO0098
ORD0000019,CUST021266,REST09600,AGENT04275,2026-04-29 20:56:00,2026-04-29 20:58:00,2026-04-29 21:55:00,DELIVERED,787,19,68,39.35,875.35,14.66,44,24,Mumbai,245434,WEB,PROMO0451
ORD0000020,CUST004695,REST06988,AGENT04928,2026-05-05 09:28:47,2026-05-05 09:30:47,2026-05-05 10:05:47,CANCELLED,476,176,73,23.8,396.8,8.83,36,38,Gurgaon,405785,WEB,PROMO0262
ORD0000021,CUST041954,REST05490,AGENT03617,2026-04-21 01:39:50,2026-04-21 01:42:50,2026-04-21 02:06:50,DELIVERED,925,116,37,46.25,892.25,5.32,27,29,Chennai,3230,IOS,PROMO0472
ORD0000022,CUST047034,REST05732,AGENT01502,2026-04-30 04:25:40,2026-04-30 04:30:40,2026-04-30 05:09:40,DELIVERED,839,177,65,41.95,768.95,2.38,54,46,Pune,252114,IOS,PROMO0448
ORD0000023,CUST005219,REST09849,AGENT03026,2026-05-07 07:10:40,2026-05-07 07:11:40,2026-05-07 07:50:40,CANCELLED,379,217,51,18.95,231.95,14.81,41,26,Kolkata,481242,IOS,PROMO0409
ORD0000024,CUST019369,REST07333,AGENT02578,2026-05-01 18:48:36,2026-05-01 18:49:36,2026-05-01 19:14:36,CANCELLED,676,101,77,33.8,685.8,11.98,27,28,Bangalore,314746,WEB,PROMO0004
ORD0000025,CUST015637,REST05807,AGENT00945,2026-05-09 06:54:42,2026-05-09 07:04:42,2026-05-09 07:56:42,CANCELLED,1361,291,45,68.05,1183.05,1.63,38,33,Kolkata,111693,ANDROID,PROMO0013
ORD0000026,CUST041876,REST00163,AGENT04853,2026-04-25 22:59:41,2026-04-25 23:02:41,2026-04-25 23:27:41,CANCELLED,1459,2,52,72.95,1581.95,6.77,53,37,Mumbai,361011,ANDROID,PROMO0223
ORD0000027,CUST029198,REST07834,AGENT04072,2026-05-05 04:52:30,2026-05-05 04:56:30,2026-05-05 05:46:30,CANCELLED,714,84,41,35.7,706.7,14.06,32,63,Chennai,566546,WEB,PROMO0338
ORD0000028,CUST027895,REST02266,AGENT02705,2026-04-15 03:14:25,2026-04-15 03:15:25,2026-04-15 03:53:25,CANCELLED,496,138,79,24.8,461.8,1.89,39,37,Chennai,646664,ANDROID,PROMO0450
ORD0000029,CUST036110,REST08012,AGENT02244,2026-04-16 04:49:54,2026-04-16 04:50:54,2026-04-16 05:16:54,CANCELLED,559,136,53,27.95,503.95,9.3,32,32,Kolkata,668906,IOS,PROMO0021
ORD0000030,CUST011666,REST01880,AGENT02407,2026-05-12 00:42:19,2026-05-12 00:52:19,2026-05-12 01:26:19,CANCELLED,1205,251,80,60.25,1094.25,9.08,20,37,Mumbai,250304,IOS,PROMO0454
ORD0000031,CUST045641,REST05708,AGENT02569,2026-05-14 13:32:52,2026-05-14 13:40:52,2026-05-14 14:10:52,CANCELLED,418,289,47,20.9,196.9,8.78,30,39,Mumbai,251732,ANDROID,PROMO0366
ORD0000032,CUST048142,REST06908,AGENT00121,2026-04-22 20:39:46,2026-04-22 20:44:46,2026-04-22 21:10:46,CANCELLED,458,146,63,22.9,397.9,6.99,21,56,Bangalore,736341,IOS,PROMO0322
ORD0000033,CUST027182,REST07338,AGENT01032,2026-05-07 13:49:44,2026-05-07 13:52:44,2026-05-07 14:15:44,DELIVERED,889,244,68,44.45,757.45,11.17,41,20,Mumbai,97410,ANDROID,PROMO0200
ORD0000034,CUST015477,REST00004,AGENT03734,2026-04-22 18:16:31,2026-04-22 18:25:31,2026-04-22 18:48:31,DELIVERED,1344,148,44,67.2,1307.2,12.43,48,31,Kolkata,61698,WEB,PROMO0052
ORD0000035,CUST036304,REST03147,AGENT01343,2026-05-14 11:35:19,2026-05-14 11:36:19,2026-05-14 12:18:19,CANCELLED,643,226,43,32.15,492.15,11.72,49,62,Mumbai,274610,WEB,PROMO0221
ORD0000036,CUST005507,REST02996,AGENT02315,2026-05-10 07:56:53,2026-05-10 07:57:53,2026-05-10 08:53:53,DELIVERED,218,4,44,10.9,268.9,5.35,43,22,Kolkata,607206,ANDROID,PROMO0241
ORD0000037,CUST012105,REST05193,AGENT00896,2026-04-15 03:57:23,2026-04-15 04:03:23,2026-04-15 04:43:23,CANCELLED,381,111,42,19.05,331.05,7.52,54,74,Hyderabad,500085,ANDROID,PROMO0054
ORD0000038,CUST046601,REST02714,AGENT04322,2026-05-09 13:40:50,2026-05-09 13:46:50,2026-05-09 14:45:50,DELIVERED,212,15,24,10.6,231.6,2.89,34,47,Pune,290249,ANDROID,PROMO0219
ORD0000039,CUST009884,REST06061,AGENT03514,2026-05-08 10:48:53,2026-05-08 10:51:53,2026-05-08 11:38:53,CANCELLED,1058,152,57,52.9,1015.9,5.04,42,32,Chennai,772203,WEB,PROMO0072
